1999-04-20 00:00:00, 13.0, 13.0, Littleton, Colorado
1983-02-18 00:00:00, 1.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 2.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 3.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 4.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 5.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 6.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 7.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 8.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 9.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 10.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 11.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 12.0, 13.0, Seattle, Washington
1983-02-18 00:00:00, 13.0, 13.0, Seattle, Washington
1999-07-29 00:00:00, 1.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 2.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 3.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 4.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 5.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 6.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 7.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 8.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 9.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 10.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 11.0, 12.0, Atlanta, Georgia
1999-07-29 00:00:00, 12.0, 12.0, Atlanta, Georgia
2009-03-10 00:00:00, 1.0, 10.0, Geneva County, Alabama
2009-03-10 00:00:00, 2.0, 10.0, Geneva County, Alabama
2009-03-10 00:00:00, 3.0, 10.0, Geneva County, Alabama
2009-03-10 00:00:00, 4.0, 10.0, Geneva County, Alabama
2009-03-10 00:00:00, 5.0, 10.0, Geneva County, Alabama
2009-03-10 00:00:00, 6.0, 10.0, Geneva County, Alabama
2009-03-10 00:00:00, 7.0, 10.0, Geneva County, Alabama
2009-03-10 00:00:00, 8.0, 10.0, Geneva County, Alabama
2009-03-10 00:00:00, 9.0, 10.0, Geneva County, Alabama
2009-03-10 00:00:00, 10.0, 10.0, Geneva County, Alabama
2005-03-21 00:00:00, 1.0, 10.0, Red Lake, Minnesota
2005-03-21 00:00:00, 2.0, 10.0, Red Lake, Minnesota
2005-03-21 00:00:00, 3.0, 10.0, Red Lake, Minnesota
2005-03-21 00:00:00, 4.0, 10.0, Red Lake, Minnesota
2005-03-21 00:00:00, 5.0, 10.0, Red Lake, Minnesota
2005-03-21 00:00:00, 6.0, 10.0, Red Lake, Minnesota
2005-03-21 00:00:00, 7.0, 10.0, Red Lake, Minnesota
2005-03-21 00:00:00, 8.0, 10.0, Red Lake, Minnesota
2005-03-21 00:00:00, 9.0, 10.0, Red Lake, Minnesota
2005-03-21 00:00:00, 10.0, 10.0, Red Lake, Minnesota
1990-06-18 00:00:00, 1.0, 10.0, Jacksonville, Florida
1990-06-18 00:00:00, 2.0, 10.0, Jacksonville, Florida
1990-06-18 00:00:00, 3.0, 10.0, Jacksonville, Florida
1990-06-18 00:00:00, 4.0, 10.0, Jacksonville, Florida
1990-06-18 00:00:00, 5.0, 10.0, Jacksonville, Florida
1990-06-18 00:00:00, 6.0, 10.0, Jacksonville, Florida
1990-06-18 00:00:00, 7.0, 10.0, Jacksonville, Florida
1990-06-18 00:00:00, 8.0, 10.0, Jacksonville, Florida
1990-06-18 00:00:00, 9.0, 10.0, Jacksonville, Florida
1990-06-18 00:00:00, 10.0, 10.0, Jacksonville, Florida
2011-10-14 00:00:00, 1.0, 8.0, Seal Beach, California
2011-10-14 00:00:00, 2.0, 8.0, Seal Beach, California
2011-10-14 00:00:00, 3.0, 8.0, Seal Beach, California
2011-10-14 00:00:00, 4.0, 8.0, Seal Beach, California
2011-10-14 00:00:00, 5.0, 8.0, Seal Beach, California
2011-10-14 00:00:00, 6.0, 8.0, Seal Beach, California
2011-10-14 00:00:00, 7.0, 8.0, Seal Beach, California
2011-10-14 00:00:00, 8.0, 8.0, Seal Beach, California
2010-08-03 00:00:00, 1.0, 9.0, Manchester, Connecticut
2010-08-03 00:00:00, 2.0, 9.0, Manchester, Connecticut
2010-08-03 00:00:00, 3.0, 9.0, Manchester, Connecticut
2010-08-03 00:00:00, 4.0, 9.0, Manchester, Connecticut
2010-08-03 00:00:00, 5.0, 9.0, Manchester, Connecticut
2010-08-03 00:00:00, 6.0, 9.0, Manchester, Connecticut
2010-08-03 00:00:00, 7.0, 9.0, Manchester, Connecticut
2010-08-03 00:00:00, 8.0, 9.0, Manchester, Connecticut
2010-08-03 00:00:00, 9.0, 9.0, Manchester, Connecticut
2010-01-19 00:00:00, 1.0, 5.0, Appomattox, Virginia
2010-01-19 00:00:00, 2.0, 5.0, Appomattox, Virginia
2010-01-19 00:00:00, 3.0, 5.0, Appomattox, Virginia
2010-01-19 00:00:00, 4.0, 5.0, Appomattox, Virginia
2010-01-19 00:00:00, 5.0, 5.0, Appomattox, Virginia
2009-03-29 00:00:00, 1.0, 8.0, Carthage, North Carolina
2009-03-29 00:00:00, 2.0, 8.0, Carthage, North Carolina
2009-03-29 00:00:00, 3.0, 8.0, Carthage, North Carolina
2009-03-29 00:00:00, 4.0, 8.0, Carthage, North Carolina
2009-03-29 00:00:00, 5.0, 8.0, Carthage, North Carolina
2009-03-29 00:00:00, 6.0, 8.0, Carthage, North Carolina
2009-03-29 00:00:00, 7.0, 8.0, Carthage, North Carolina
2009-03-29 00:00:00, 8.0, 8.0, Carthage, North Carolina
2007-12-05 00:00:00, 1.0, 8.0, Omaha, Nebraska
2007-12-05 00:00:00, 2.0, 8.0, Omaha, Nebraska
2007-12-05 00:00:00, 3.0, 8.0, Omaha, Nebraska
2007-12-05 00:00:00, 4.0, 8.0, Omaha, Nebraska
2007-12-05 00:00:00, 5.0, 8.0, Omaha, Nebraska
2007-12-05 00:00:00, 6.0, 8.0, Omaha, Nebraska
2007-12-05 00:00:00, 7.0, 8.0, Omaha, Nebraska
2007-12-05 00:00:00, 8.0, 8.0, Omaha, Nebraska
1993-07-01 00:00:00, 1.0, 8.0, San Francisco, California
1993-07-01 00:00:00, 2.0, 8.0, San Francisco, California
1993-07-01 00:00:00, 3.0, 8.0, San Francisco, California
1993-07-01 00:00:00, 4.0, 8.0, San Francisco, California
1993-07-01 00:00:00, 5.0, 8.0, San Francisco, California
1993-07-01 00:00:00, 6.0, 8.0, San Francisco, California
1993-07-01 00:00:00, 7.0, 8.0, San Francisco, California
1993-07-01 00:00:00, 8.0, 8.0, San Francisco, California
1989-09-14 00:00:00, 1.0, 8.0, Louisville, Kentucky
1989-09-14 00:00:00, 2.0, 8.0, Louisville, Kentucky
1989-09-14 00:00:00, 3.0, 8.0, Louisville, Kentucky
1989-09-14 00:00:00, 4.0, 8.0, Louisville, Kentucky
1989-09-14 00:00:00, 5.0, 8.0, Louisville, Kentucky
1989-09-14 00:00:00, 6.0, 8.0, Louisville, Kentucky
1989-09-14 00:00:00, 7.0, 8.0, Louisville, Kentucky
1989-09-14 00:00:00, 8.0, 8.0, Louisville, Kentucky
1982-08-20 00:00:00, 1.0, 8.0, Miami, Florida
1982-08-20 00:00:00, 2.0, 8.0, Miami, Florida
1982-08-20 00:00:00, 3.0, 8.0, Miami, Florida
1982-08-20 00:00:00, 4.0, 8.0, Miami, Florida
1982-08-20 00:00:00, 5.0, 8.0, Miami, Florida
1982-08-20 00:00:00, 6.0, 8.0, Miami, Florida
1982-08-20 00:00:00, 7.0, 8.0, Miami, Florida
1982-08-20 00:00:00, 8.0, 8.0, Miami, Florida
1989-01-17 00:00:00, 1.0, 5.0, Stockton, California
1989-01-17 00:00:00, 2.0, 5.0, Stockton, California
1989-01-17 00:00:00, 3.0, 5.0, Stockton, California
1989-01-17 00:00:00, 4.0, 5.0, Stockton, California
1989-01-17 00:00:00, 5.0, 5.0, Stockton, California
1991-11-01 00:00:00, 1.0, 6.0, Iowa City, Iowa
1991-11-01 00:00:00, 2.0, 6.0, Iowa City, Iowa
1991-11-01 00:00:00, 3.0, 6.0, Iowa City, Iowa
1991-11-01 00:00:00, 4.0, 6.0, Iowa City, Iowa
1991-11-01 00:00:00, 5.0, 6.0, Iowa City, Iowa
1991-11-01 00:00:00, 6.0, 6.0, Iowa City, Iowa
1992-05-01 00:00:00, 1.0, 4.0, Olivehurst, California
1992-05-01 00:00:00, 2.0, 4.0, Olivehurst, California
1992-05-01 00:00:00, 3.0, 4.0, Olivehurst, California
1992-05-01 00:00:00, 4.0, 4.0, Olivehurst, California
1993-12-07 00:00:00, 1.0, 6.0, Garden City, New York
1993-12-07 00:00:00, 2.0, 6.0, Garden City, New York
1993-12-07 00:00:00, 3.0, 6.0, Garden City, New York
1993-12-07 00:00:00, 4.0, 6.0, Garden City, New York
1993-12-07 00:00:00, 5.0, 6.0, Garden City, New York
1993-12-07 00:00:00, 6.0, 6.0, Garden City, New York
1998-03-24 00:00:00, 1.0, 5.0, Jonesboro, Arkansas
1998-03-24 00:00:00, 2.0, 5.0, Jonesboro, Arkansas
1998-03-24 00:00:00, 3.0, 5.0, Jonesboro, Arkansas
1998-03-24 00:00:00, 4.0, 5.0, Jonesboro, Arkansas
1998-03-24 00:00:00, 5.0, 5.0, Jonesboro, Arkansas
1999-12-30 00:00:00, 1.0, 5.0, Tampa, Florida
1999-12-30 00:00:00, 2.0, 5.0, Tampa, Florida
